time,f0,intensity
10.86,216.39,0.29
10.87,215.54,0.29
10.88,213.26,0.29
10.89,206.78,0.28
10.9,199.62,0.27
10.91,192.19,0.28
10.92,182.54,0.27
10.93,172.62,0.21
10.94,167.93,0.15
10.95,169.14,0.13
10.96,136.84,0.11
10.97,195.08,0.07
10.98,235.65,0.05
10.99,143.4,0.04
11,104.65,0.01
11.01,88.85,0
11.02,133.76,0
11.03,190.02,0
11.04,188.49,0
11.05,186.96,0
11.06,185.43,0
11.07,183.9,0
11.08,182.36,0.03
11.09,180.83,0.03
11.1,179.3,0.02
11.11,177.77,0.01
11.12,176.24,0
11.13,174.7,0
11.14,173.17,0
11.15,171.64,0.01
11.16,170.11,0.01
11.17,168.58,0.01
11.18,167.04,0.02
11.19,165.51,0.02
11.2,163.98,0.02
11.21,162.45,0.02
11.22,160.91,0.02
11.23,159.38,0.02
11.24,157.85,0.02
11.25,156.32,0.02
11.26,154.79,0.02
11.27,153.25,0.02
11.28,151.72,0.03
11.29,150.19,0.03
11.3,148.66,0.02
11.31,147.13,0.02
11.32,145.59,0.02
11.33,144.06,0.02
11.34,142.53,0.02
11.35,141,0.02
11.36,139.47,0.01
11.37,137.93,0.01
11.38,136.4,0.01
11.39,134.87,0.01
11.4,133.34,0.01
11.41,131.81,0.01
11.42,130.27,0
11.43,128.74,0
11.44,127.21,0
11.45,125.68,0
11.46,124.15,0
11.47,125.21,0.03
11.48,117.44,0.14
11.49,178.15,0.23
11.5,222.45,0.27
11.51,223.66,0.29
11.52,225.01,0.3
11.53,225.83,0.3
11.54,225.26,0.31
11.55,224.95,0.33
11.56,226.54,0.34
11.57,227.55,0.33
11.58,226.39,0.32
11.59,223.33,0.31
11.6,219.94,0.29
11.61,221.29,0.28
11.62,223.6,0.29
11.63,225.23,0.31
11.64,227.25,0.32
11.65,228.75,0.3
11.66,230.08,0.3
11.67,231.08,0.31
11.68,231.63,0.31
11.69,231.93,0.29
11.7,231.53,0.3
11.71,227.24,0.29
11.72,227.71,0.27
11.73,228.83,0.3
11.74,229.23,0.3
11.75,229.78,0.28
11.76,229.68,0.28
11.77,231.12,0.28
11.78,237.13,0.28
11.79,234.03,0.26
11.8,230.92,0.27
11.81,232.89,0.26
11.82,235.29,0.26
11.83,236.71,0.27
11.84,237.32,0.27
11.85,239,0.29
11.86,242.7,0.3
11.87,244.64,0.29
11.88,245.34,0.31
11.89,245.77,0.31
11.9,246.7,0.33
11.91,248.4,0.32
11.92,249.91,0.3
11.93,250.47,0.25
11.94,251.08,0.2
11.95,248.98,0.19
11.96,245.42,0.19
11.97,242.05,0.2
11.98,247.26,0.22
11.99,247.1,0.26
12,239.16,0.26
12.01,234.24,0.23
12.02,231.4,0.2
12.03,228.73,0.2
12.04,226.15,0.23
12.05,224.12,0.25
12.06,221.14,0.24
12.07,221.74,0.25
12.08,222.92,0.27
12.09,223.63,0.29
12.1,222.86,0.29
12.11,221.39,0.28
12.12,219.7,0.28
12.13,217.83,0.27
12.14,214.58,0.24
12.15,209.35,0.2
12.16,211.61,0.18
12.17,219.61,0.26
12.18,216.45,0.31
